Wall time,Step,Value
1626526562.4383414,100,0.0
1626526617.9255965,200,0.0
1626526669.818351,300,0.0
1626526721.7038198,400,0.0
1626526776.5923655,500,0.0
1626526825.8760786,600,0.0
1626526878.9657295,700,0.0
1626526931.2510874,800,0.0
1626526977.328788,900,0.0
1626527028.014399,1000,0.0
1626527071.888004,1100,0.0
1626527121.5730884,1200,0.0
1626527172.657487,1300,0.0
1626527226.743022,1400,0.0
1626527276.0208309,1500,0.0
1626527318.8924139,1600,0.0
1626527368.367459,1700,0.0
1626527421.7477393,1800,0.0
1626527480.2367795,1900,2.0
1626527524.3928368,2000,0.0
1626527581.748488,2100,9.0
1626527629.4136472,2200,0.0
1626527677.2033226,2300,0.0
1626527734.603071,2400,0.0
1626527809.8606045,2500,1.0
1626527865.350714,2600,0.0
1626527929.7900012,2700,13.0
1626527988.0024095,2800,7.0
1626528038.296706,2900,22.0
1626528090.3954203,3000,0.0
1626528145.8979428,3100,32.0
1626528203.1646655,3200,37.0
1626528274.1093695,3300,28.0
1626528330.6930926,3400,27.0
1626528379.0617495,3500,39.0
1626528431.1222944,3600,23.0
1626528492.3865588,3700,37.0
1626528553.7887685,3800,37.0
1626528599.8375278,3900,14.0
1626528656.8520906,4000,31.0
1626528716.1807153,4100,6.0
1626528760.8381805,4200,20.0
1626528806.3016183,4300,56.0
1626528855.0142577,4400,57.0
1626528915.2381139,4500,11.0
1626528960.7711859,4600,11.0
1626529011.8270407,4700,8.0
1626529054.6751056,4800,15.0
1626529123.3540275,4900,22.0
1626529179.4281988,5000,19.0
1626529235.8358927,5100,1.0
1626529281.4812841,5200,10.0
1626529336.9983115,5300,17.0
1626529385.4206161,5400,12.0
1626529433.5704339,5500,0.0
1626529480.075605,5600,20.0
1626529523.7699127,5700,7.0
1626529568.528967,5800,23.0
1626529626.3085907,5900,22.0
1626529674.3462844,6000,0.0
1626529724.3054667,6100,25.0
1626529776.9298985,6200,13.0
1626529824.47874,6300,6.0
1626529870.842024,6400,19.0
1626529917.3024664,6500,16.0
1626529970.4673197,6600,8.0
1626530024.4434516,6700,7.0
1626530085.0268984,6800,9.0
1626530135.8047986,6900,8.0
1626530181.6421435,7000,3.0
1626530227.4918115,7100,14.0
1626530289.6700075,7200,0.0
1626530355.6854868,7300,13.0
1626530410.9643784,7400,4.0
1626530472.0459957,7500,2.0
