,ct_mean,ct_std,el_mean,el_std,er_mean,er_std
659,4.0,0.0,14.0,0.0,14.00123937836403,1.9459014222361975e-15
660,13.0,0.0,72.0,0.0,2.3944360817969805,0.0
661,2.0,0.0,13.0,0.0,15.320026422034527,7.944109290391273e-16
662,11.0,0.0,74.0,0.0,2.1242831552518098,0.0
663,2.0,0.0,13.0,0.0,15.14872729254978,0.0
664,2.0,0.0,13.0,0.0,14.04218790407452,1.9459014222361975e-15
665,10.0,0.0,60.0,0.0,4.331110408114119,9.729507111180987e-16
666,16.0,0.0,76.0,0.0,2.635585025213471,0.0
667,8.0,0.0,64.0,0.0,7.27818708965612,9.729507111180987e-16
668,0.0,0.0,100.0,0.0,-13.083134166369998,7.944109290391273e-16
669,1.0,0.0,18.0,0.0,16.731112006051827,0.0
670,4.0,0.0,14.0,0.0,14.127341349199702,1.7763568394002505e-15
671,9.0,0.0,18.0,0.0,12.533974835996489,0.0
672,3.0,0.0,13.0,0.0,13.831250756189771,7.944109290391273e-16
673,12.0,0.0,64.0,0.0,3.589301557013399,4.864753555590494e-16
674,23.0,0.0,100.0,0.0,-16.11745266448423,0.0
675,0.0,0.0,17.0,0.0,17.10823415349507,3.891802844472395e-15
676,8.0,0.0,17.0,0.0,13.510430945392605,0.0
677,2.0,0.0,12.0,0.0,14.655541278630938,1.9459014222361975e-15
678,5.0,0.0,16.0,0.0,13.729086792502411,7.944109290391273e-16
679,6.0,0.0,16.0,0.0,13.179165115154143,1.7763568394002505e-15
680,20.0,0.0,84.0,0.0,-1.0165007731242124,0.0
681,0.0,0.0,20.0,0.0,16.551756787176224,3.891802844472395e-15
682,3.0,0.0,13.0,0.0,14.412744197940878,7.944109290391273e-16
683,5.0,0.0,15.0,0.0,14.07139143840548,0.0
684,5.0,0.0,15.0,0.0,13.605552226362255,1.7763568394002505e-15
685,4.0,0.0,14.0,0.0,13.85346177598404,1.9459014222361975e-15
686,3.0,0.0,13.0,0.0,14.070737962187303,0.0
687,27.0,0.0,91.0,0.0,-1.534073820534246,0.0
688,1.0,0.0,12.0,0.0,15.159588172820236,0.0
689,23.0,0.0,74.0,0.0,1.7697898693717438,0.0
690,13.0,0.0,67.0,0.0,4.411547560956447,0.0
691,10.0,0.0,58.0,0.0,6.335892924988305,0.0
692,8.0,0.0,18.0,0.0,16.229654217766512,0.0
693,5.0,0.0,14.0,0.0,14.222214751196415,7.944109290391273e-16
694,5.0,0.0,15.0,0.0,13.85569280952744,0.0
695,4.0,0.0,13.0,0.0,13.979873300361387,7.944109290391273e-16
696,6.0,0.0,15.0,0.0,13.558414294498784,1.7763568394002505e-15
697,5.0,0.0,15.0,0.0,13.148904525840738,1.9459014222361975e-15
698,2.0,0.0,12.0,0.0,13.382900178519893,7.944109290391273e-16
699,0.0,0.0,9.0,0.0,13.743066858662042,1.7763568394002505e-15
700,2.0,0.0,12.0,0.0,13.766287753680256,1.9459014222361975e-15
701,0.0,0.0,9.0,0.0,13.979082186781167,7.944109290391273e-16
702,0.0,0.0,9.0,0.0,14.189849021232206,0.0
703,37.0,0.0,98.0,0.0,-3.3951975919044144,4.440892098500626e-16
704,0.0,0.0,17.0,0.0,16.950086536138542,0.0
705,2.0,0.0,13.0,0.0,14.300744251307288,0.0
706,4.0,0.0,13.0,0.0,13.92802996323596,1.9459014222361975e-15
707,0.0,0.0,9.0,0.0,13.790547980267274,1.9459014222361975e-15
708,46.0,0.0,100.0,0.0,-17.24026719719256,3.891802844472395e-15
709,24.0,0.0,64.0,0.0,7.968781384310378,8.881784197001252e-16
710,1.0,0.0,12.0,0.0,16.529555555677014,3.891802844472395e-15
711,5.0,0.0,15.0,0.0,13.694527306812628,1.9459014222361975e-15
712,1.0,0.0,12.0,0.0,14.083677088495827,0.0
713,40.0,0.0,100.0,0.0,-16.207128593160217,0.0
714,0.0,0.0,17.0,0.0,17.1224586677661,0.0
715,25.0,0.0,78.0,0.0,0.7180532676927225,0.0
716,1.0,0.0,15.0,0.0,16.90430028618658,0.0
717,4.0,0.0,15.0,0.0,13.930183236760389,1.9459014222361975e-15
718,29.0,0.0,95.0,0.0,-2.280758593210315,0.0
