,Unnamed: 0,ct,el,er,t
0,0.0,0.0,0.0,0.0,1.3614623546600342
1,1.0,0.0,83.0,-18.76476909966739,92.91798806190492
2,2.0,0.0,100.0,-19.20006966362672,214.1692743301392
3,3.0,0.0,100.0,24.03045987047311,340.7738904953003
4,4.0,0.0,100.0,9.606081210026478,472.856698513031
5,5.0,0.0,100.0,-6.486647728701107,647.0446534156799
6,6.0,0.0,100.0,-14.566671413308184,817.7530679702759
7,7.0,0.0,100.0,12.391085812373596,948.7008259296416
8,8.0,0.0,100.0,-9.308341618691774,1076.8567559719086
9,9.0,0.0,73.0,135.1402205753615,1161.6063420772552
10,10.0,0.0,88.0,-41.30941892040133,1267.330314397812
11,11.0,0.0,38.0,119.99873026046036,1318.1768271923063
12,12.0,0.0,56.0,99.75611834643254,1381.627138376236
13,13.0,0.0,61.0,-36.29627071174478,1466.1058225631714
14,14.0,0.0,45.0,-26.33335713697784,1523.337549686432
15,15.0,0.0,100.0,3.255089588866788,1651.7141160964966
16,16.0,0.0,75.0,118.27338512877895,1755.2890965938568
17,17.0,0.0,42.0,-40.9753713831668,1812.5027177333832
18,18.0,0.0,37.0,121.7647325801692,1858.5469365119932
19,19.0,0.0,56.0,-54.987321969930406,1927.7593438625336
20,20.0,0.0,25.0,134.89880287693023,1961.033784389496
21,21.0,0.0,63.0,-44.34218268489044,2029.8428990840912
22,22.0,0.0,72.0,-10.599801878617576,2123.586576461792
23,23.0,0.0,43.0,-20.531510407014206,2178.5382957458496
24,24.0,0.0,24.0,116.54936429739588,2208.7091538906097
25,25.0,0.0,49.0,-39.75189920778144,2262.321507930756
26,26.0,0.0,62.0,119.82019711765837,2333.537222146988
27,27.0,0.0,21.0,99.19608886258864,2363.875664949417
28,28.0,0.0,39.0,-37.85312648955205,2412.391660451889
29,29.0,0.0,25.0,117.6197105492244,2441.682652235031
30,30.0,0.0,37.0,-34.51049070647882,2489.6146743297577
31,31.0,0.0,37.0,115.33935538822452,2528.410802125931
32,32.0,0.0,40.0,-28.09613441872037,2573.192496299744
33,33.0,0.0,22.0,114.6075339321822,2600.6161453723907
34,34.0,0.0,39.0,-33.99017030380617,2657.7846105098724
35,35.0,0.0,52.0,-22.674632344099024,2714.756381511688
36,36.0,0.0,91.0,-17.34186883302657,2821.688853740692
37,37.0,0.0,21.0,114.1133194800453,2845.3718690872192
38,38.0,0.0,37.0,-35.94026138790569,2883.286020755768
39,39.0,0.0,40.0,-18.5932556395095,2921.0406970977783
40,40.0,0.0,27.0,115.12853927479792,2955.3053267002106
41,41.0,0.0,26.0,-35.72057422280408,2991.839015722275
42,42.0,0.0,18.0,116.16421692043852,3019.254783630371
43,43.0,0.0,72.0,99.2848931483522,3114.742805957794
44,44.0,0.0,100.0,-13.443816027038586,3230.7111370563507
45,45.0,0.0,19.0,113.75238038108026,3261.8468778133392
46,46.0,0.0,40.0,-35.537625366640995,3303.804458618164
47,47.0,0.0,100.0,6.870491065905897,3414.762688398361
48,48.0,0.0,25.0,108.8175039189292,3446.7231798172
49,49.0,0.0,30.0,-35.95699711692618,3488.9785330295563
50,50.0,0.0,51.0,-19.25924468582387,3549.866560935974
51,51.0,0.0,18.0,115.7073554649028,3575.302909851074
52,52.0,0.0,82.0,-36.78249463084151,3669.794620990753
53,53.0,0.0,55.0,115.88792712545003,3735.690551996231
54,54.0,0.0,21.0,100.19781879662156,3761.7716505527496
55,55.0,0.0,55.0,-34.54933229788902,3827.238707304001
56,56.0,0.0,66.0,113.98219169523134,3909.287801265717
57,57.0,0.0,100.0,-3.053170111782556,4038.355270147324
58,58.0,0.0,27.0,104.44454607431108,4071.762892484665
59,59.0,0.0,74.0,98.77145574986842,4162.504229784012
60,60.0,0.0,21.0,100.14444933781036,4189.866426467896
61,61.0,0.0,40.0,100.33865871341868,4245.395173549652
62,62.0,0.0,92.0,-39.56210928307664,4352.573808431625
63,63.0,0.0,68.0,119.11582111038636,4437.421854019165
64,64.0,0.0,100.0,-12.662966569784723,4558.863858699799
65,65.0,0.0,33.0,112.84012811908984,4604.819193601608
66,66.0,0.0,100.0,-23.844013337457834,4780.891346693039
67,67.0,0.0,57.0,-15.116227911907687,4848.215057849884
68,68.0,0.0,91.0,-8.782683786266226,4950.706681966782
69,69.0,0.0,38.0,115.8629778288544,4996.7707459926605
70,70.0,0.0,42.0,99.5330757200687,5047.142873764038
71,71.0,0.0,26.0,101.92572241588957,5081.552018880844
72,72.0,0.0,40.0,-66.3636177027581,5151.602221250534
73,73.0,0.0,26.0,143.6528475687211,5185.934379816055
74,74.0,0.0,21.0,100.69798344156172,5214.606457948685
75,75.0,0.0,52.0,-63.5233437095041,5309.848583936691
76,76.0,0.0,21.0,142.88729719106647,5337.324024915695
77,77.0,0.0,100.0,-14.191542704105633,5482.714507341385
78,78.0,0.0,26.0,114.8924658619204,5515.617628097534
79,79.0,0.0,29.0,99.30069827563068,5552.915896177292
80,80.0,0.0,85.0,-37.27140876614877,5650.791939973831
81,81.0,0.0,65.0,118.22295746964022,5738.489244222641
82,82.0,0.0,31.0,97.75190631768874,5776.399999141693
83,83.0,0.0,100.0,-21.357461131607465,5904.929456472397
84,84.0,0.0,44.0,-31.607948249918017,5985.512575626373
85,85.0,0.0,100.0,21.21814200747732,6113.173521995544
86,86.0,0.0,43.0,111.84314164071368,6171.023369073868
87,87.0,0.0,92.0,-39.49040090513577,6291.55161356926
88,88.0,0.0,100.0,-19.911524597089787,6439.9582352638245
89,89.0,0.0,81.0,2.1316026886140875,6536.008126974106
90,90.0,0.0,35.0,-18.31803386677825,6579.959748029709
91,91.0,0.0,90.0,-27.276964903244707,6702.522959470749
92,92.0,0.0,64.0,-11.25690593252389,6782.983500480652
93,93.0,0.0,65.0,-20.28764326463243,6858.323416233063
94,94.0,0.0,74.0,-28.22697000853144,6954.935851812363
95,95.0,0.0,29.0,122.6921097125377,6993.185003995895
96,96.0,0.0,25.0,100.35145309100174,7025.922573566437
97,97.0,0.0,29.0,100.50380116491291,7065.222440242767
98,98.0,0.0,88.0,99.87220049853198,7200.213621854782
99,99.0,0.0,28.0,99.10137020900385,7236.458685159683
100,100.0,0.0,47.0,-51.509489923058005,7318.041419744492
101,101.0,0.0,100.0,15.357590760191105,7475.303284168243
102,102.0,0.0,71.0,116.86474250892776,7565.141271352768
103,103.0,0.0,46.0,-34.71102128249793,7622.076651573181
104,104.0,0.0,53.0,114.65617344772322,7692.365136861801
105,105.0,0.0,66.0,99.58240973053418,7776.6718418598175
106,106.0,0.0,25.0,100.87229389736066,7810.380014896393
107,107.0,0.0,66.0,-54.87544134043996,7894.325365066528
108,108.0,0.0,28.0,-1.522384415222234,7924.447023153305
109,109.0,0.0,22.0,117.34150377662084,7961.403577327728
110,110.0,0.0,100.0,-42.66833893551933,8087.535758733749
111,111.0,0.0,100.0,36.56015155786084,8209.238771915436
112,112.0,0.0,100.0,-76.31626042790823,8367.812059879303
113,113.0,0.0,27.0,181.56363746814304,8403.243434906006
114,114.0,0.0,51.0,-34.63527475490754,8459.98428440094
115,115.0,0.0,77.0,-19.78878332026636,8555.53708267212
116,116.0,0.0,86.0,114.74811635079232,8669.572194814682
117,117.0,0.0,28.0,100.2398553870358,8708.402889966965
118,118.0,0.0,36.0,-38.75442740133301,8756.349004268646
119,119.0,0.0,87.0,-32.79979484691154,8864.496502399445
120,120.0,0.0,47.0,-5.462205333801684,8928.259436368942
121,121.0,0.0,100.0,-22.91779583796056,9074.064081907272
122,122.0,0.0,100.0,-36.27844417011947,9198.171750307083
123,123.0,0.0,62.0,38.155984287752574,9277.966452121736
124,124.0,0.0,86.0,-23.964793314601263,9392.160117387772
125,125.0,0.0,28.0,119.81780889197717,9427.788895368576
126,126.0,0.0,100.0,-16.005845846013294,9558.601676225662
127,127.0,0.0,100.0,9.628041371039862,9684.572012424467
128,128.0,0.0,100.0,-28.06531727514047,9849.202033758163
129,129.0,0.0,62.0,-0.400659141931623,9926.795721054075
130,130.0,0.0,28.0,115.05098314875076,9965.236897230148
131,131.0,0.0,37.0,101.23848499682082,10018.133405923843
132,132.0,0.0,88.0,99.51454727689578,10131.683736562729
133,133.0,0.0,100.0,-16.365010691584764,10247.768036842346
134,134.0,0.0,26.0,113.56931286584089,10283.988590478895
135,135.0,0.0,34.0,100.868929864913,10329.359440803528
136,136.0,0.0,100.0,-8.078763042023867,10454.021539449692
137,137.0,0.0,25.0,108.53155363779004,10488.4474132061
138,138.0,0.0,28.0,100.4353092414728,10536.267077445984
139,139.0,0.0,28.0,100.31507624799602,10574.01400232315
140,140.0,0.0,26.0,99.52293126496224,10608.810486078262
141,141.0,0.0,100.0,-36.06061640053453,10735.274981975555
142,142.0,0.0,26.0,115.43357697197384,10775.871002674105
143,143.0,0.0,55.0,100.0863892159864,10851.354467630386
144,144.0,0.0,100.0,-12.64004968300323,11022.221846818924
145,145.0,0.0,43.0,-24.87229611949199,11078.509199619291
146,146.0,0.0,100.0,8.674430788230733,11209.573519468307
147,147.0,0.0,34.0,-45.98942549051263,11281.364731550217
148,148.0,0.0,28.0,135.19433718631262,11315.67628645897
149,149.0,0.0,100.0,-12.544392572619577,11439.036730527878
150,150.0,0.0,76.0,-25.45364153325648,11541.804739713669
151,151.0,0.0,36.0,118.22694587142414,11592.747287988665
152,152.0,0.0,81.0,-52.3553229910182,11749.20173573494
153,153.0,0.0,42.0,-9.818623147524267,11806.87760424614
154,154.0,0.0,100.0,2.617589674962198,11953.698064804075
155,155.0,0.0,33.0,120.94982391340622,11999.598645210266
156,156.0,0.0,86.0,-39.46413424272198,12125.511068582537
157,157.0,0.0,42.0,118.26111620576565,12177.982664346697
158,158.0,0.0,29.0,101.34433404326586,12216.879400253296
159,159.0,0.0,43.0,-35.49913238937243,12271.40345621109
160,160.0,0.0,72.0,-56.0518010840597,12377.078621387482
161,161.0,0.0,31.0,151.6312512666851,12418.845568418505
162,162.0,0.0,49.0,99.50453076714474,12487.722722530363
163,163.0,0.0,30.0,99.96478631261294,12529.399023294449
164,164.0,0.0,39.0,-35.34197807588146,12585.06103372574
165,165.0,0.0,49.0,116.90957490174624,12653.055272340776
166,166.0,0.0,76.0,-53.35672090397755,12770.657064676285
167,167.0,0.0,37.0,131.85081915750624,12822.862600326538
168,168.0,0.0,100.0,-37.70615584081156,12976.007195711136
169,169.0,0.0,100.0,-5.256820262597292,13119.07095336914
170,170.0,0.0,75.0,-8.095943998767686,13244.057304143906
171,,0.0,0.0,0.0,1.2811882495880127
172,,0.0,63.0,0.8037213045789926,76.98737835884094
173,,0.0,21.0,117.86923310923595,102.36783409118652
174,,0.0,37.0,97.83685828582753,150.4981391429901
175,,0.0,21.0,100.6921273195414,179.64509892463684
176,,0.0,83.0,99.18037863051534,288.4760663509369
177,,0.0,71.0,100.29776988755009,373.15105080604553
178,,0.0,100.0,-41.03378772852892,512.115974187851
179,,0.0,100.0,34.228739900858045,726.5231056213379
180,,0.0,55.0,106.35741414667939,803.9918215274811
181,,0.0,21.0,100.66308356996193,828.377522945404
182,,0.0,78.0,-35.289888748344865,919.5228583812714
183,,0.0,22.0,115.19662608180523,946.1147363185883
184,,0.0,70.0,-38.12833034465672,1041.727460861206
185,,0.0,100.0,-1.1474005782999168,1198.6846988201141
186,,0.0,27.0,118.14875582254119,1232.490697145462
187,,0.0,53.0,98.11514750925095,1294.3401668071747
188,,0.0,39.0,-33.984324235898704,1339.9908945560455
189,,0.0,49.0,-24.251634195915123,1396.0791347026825
190,,0.0,20.0,118.87250938361996,1419.5258152484894
191,,0.0,50.0,99.16401880696884,1481.3404922485352
192,,0.0,19.0,115.52572236842721,1516.525499343872
193,,0.0,69.0,-37.75581602912857,1600.6125679016113
194,,0.0,83.0,-41.26146341104194,1766.5928463935852
195,,0.0,19.0,135.25925252628798,1797.2869818210602
196,,0.0,46.0,-34.80803366202423,1861.1270859241486
197,,0.0,40.0,114.91359420660264,1912.4170668125153
198,,0.0,22.0,100.11069888684584,1957.024076461792
199,,0.0,22.0,101.19153646136697,1987.516285419464
200,,0.0,100.0,-11.682716986213675,2113.223819255829
201,,0.0,18.0,104.16841074767814,2138.9145169258118
202,,0.0,38.0,99.81201298011956,2186.2571144104004
203,,0.0,23.0,100.37841695818392,2217.7287883758545
204,,0.0,52.0,-35.136945890970814,2280.286861896515
205,,0.0,81.0,115.14398732745748,2387.052407503128
206,,0.0,29.0,100.04950895794343,2432.235203266144
207,,0.0,86.0,100.62841883229348,2544.3824338912964
208,,0.0,22.0,98.9146719007192,2574.176314353943
209,,0.0,34.0,100.0712642405004,2617.59872674942
210,,0.0,100.0,-6.664437205883784,2735.952779531479
211,,0.0,68.0,-28.43947459550344,2814.6595697402954
212,,0.0,25.0,117.33991148144689,2843.782021999359
213,,0.0,23.0,98.2626300090126,2878.7033853530884
214,,0.0,40.0,-34.77093804592467,2927.388700723648
215,,0.0,50.0,-19.329885798519985,2986.3510587215424
216,,0.0,100.0,-8.871596308102953,3129.8400099277496
217,,0.0,100.0,-25.570556308241542,3281.687639951706
218,,0.0,19.0,131.3330792638191,3307.919170856476
219,,0.0,21.0,100.13730981547802,3334.458654165268
220,,0.0,61.0,-34.96725429260202,3411.588297843933
221,,0.0,99.0,116.65549925703017,3525.6650240421295
222,,0.0,16.0,99.48708986061433,3550.688008785248
223,,0.0,100.0,-7.079277188107291,3667.0015144348145
224,,0.0,31.0,106.44563088958462,3702.841525554657
225,,0.0,39.0,100.31232587675711,3748.0418751239777
226,,0.0,100.0,-10.40396596582772,3859.84983253479
227,,0.0,35.0,-24.209301735243457,3894.4229669570923
228,,0.0,32.0,-20.748920059813013,3928.9718668460846
229,,0.0,32.0,-21.46491467221548,3965.097489118576
230,,0.0,35.0,-21.983219291938244,4001.2715759277344
231,,0.0,100.0,6.880662205149615,4106.395164728165
232,,0.0,25.0,111.79019639957225,4139.23219537735
233,,0.0,30.0,-38.05394060885496,4172.6154692173
234,,0.0,45.0,-16.736558349668204,4220.639269828796
235,,0.0,22.0,-20.000689624989583,4244.143094539642
236,,0.0,63.0,-22.514788644376235,4309.884023666382
237,,0.0,58.0,-22.775757127684166,4378.71425652504
238,,0.0,19.0,120.83274416675825,4403.684080123901
239,,0.0,27.0,-37.07060576559724,4433.294733285904
240,,0.0,90.0,-22.716909420974144,4534.189813613892
241,,0.0,20.0,120.06640303065666,4558.775561332703
242,,0.0,100.0,-10.775192578626067,4669.093341350555
243,,0.0,31.0,-27.823515326960816,4705.409709453583
244,,0.0,55.0,-16.425889375043518,4772.80215549469
245,,0.0,37.0,-22.681243946246845,4811.261954545975
246,,0.0,73.0,-17.076023414774145,4888.977627754211
247,,0.0,17.0,114.3070266460632,4906.485305547714
248,,0.0,52.0,99.44900262964511,4967.592198371887
249,,0.0,100.0,-18.283733713410168,5084.450208187103
250,,0.0,100.0,12.081745805806658,5199.985494852066
251,,0.0,22.0,108.16088268554803,5227.1266713142395
252,,0.0,73.0,98.32673312470342,5319.268990039825
253,,0.0,43.0,-35.01251885198585,5370.7480437755585
254,,0.0,52.0,-18.145127404407738,5427.727383375168
255,,0.0,18.0,113.85017863215033,5449.437766075134
256,,0.0,24.0,-35.550273306042016,5476.637551307678
257,,0.0,35.0,-21.513738643018783,5515.276799201965
258,,0.0,41.0,116.87665658786449,5564.589065551758
