,ct,el,er,t
0,0.0,0.0,0.0,0.957627534866333
1,0.0,100.0,-22.19094150215558,33.82476758956909
2,0.0,100.0,-19.157672998959654,66.68006587028503
3,15.0,100.0,-17.857355852036466,99.54467296600342
4,31.0,100.0,-16.575469423583964,132.3926441669464
5,44.0,100.0,-15.453999230669849,165.25698018074036
6,2.0,100.0,-18.66421580056403,198.1231873035431
7,0.0,100.0,-20.577436573540933,230.98091220855713
8,28.0,100.0,-17.61704910150406,263.83243322372437
9,32.0,100.0,-20.182860023692736,296.68609642982483
10,47.0,100.0,-18.833252641275607,329.54583644866943
11,22.0,100.0,-17.967402436003606,362.41006326675415
12,50.0,100.0,-15.089357825967005,395.2644610404968
13,36.0,100.0,-18.06560975767485,428.12895679473877
14,22.0,100.0,-17.16550416614927,460.9826588630676
15,10.0,100.0,-19.308812144819452,493.8397340774536
16,8.0,100.0,-16.990958399513566,526.7015855312347
17,31.0,100.0,-18.989424358226653,559.5532751083374
18,42.0,100.0,-17.39457953960459,592.4132175445557
19,42.0,100.0,-18.071035373160697,625.2664666175842
20,33.0,100.0,-18.534815265930494,658.1338238716125
21,37.0,100.0,-16.06674625712441,690.9953937530518
22,54.0,100.0,-15.383307819836295,723.8523802757263
23,63.0,100.0,-17.000212905919536,756.7072477340698
24,43.0,100.0,-16.6388395674534,789.5614306926727
25,41.0,100.0,-21.23690184471466,822.4203219413757
26,0.0,100.0,-19.308058161617545,855.2807025909424
27,53.0,100.0,-16.67772447488437,888.1397573947906
28,25.0,100.0,-17.92636507998706,921.0035922527313
29,33.0,100.0,-15.514695754093811,953.8636190891266
30,29.0,100.0,-15.03873994570597,986.7160587310791
31,42.0,100.0,-15.600417091653549,1019.5792443752289
32,24.0,100.0,-15.3081301670273,1052.4398880004883
33,30.0,100.0,-16.748621830350697,1085.2904603481293
34,10.0,100.0,-15.074055845522752,1118.1507008075714
35,24.0,100.0,-17.24959447865938,1151.0082561969757
36,60.0,100.0,-16.598856626451518,1183.8721995353699
37,41.0,100.0,-16.694370562521595,1216.7358021736145
38,47.0,100.0,-17.739323920610488,1249.5896110534668
39,28.0,100.0,-18.13984905491678,1282.451622247696
40,22.0,100.0,-16.786510825500027,1315.3089756965637
41,38.0,100.0,-17.138939937158508,1348.177759885788
42,3.0,100.0,-17.54961600056952,1381.032220840454
43,0.0,100.0,-18.13434959676753,1413.8897197246552
44,12.0,100.0,-16.258024540388938,1446.7541658878326
45,21.0,100.0,-15.54662108201211,1479.610853433609
46,19.0,100.0,-19.34206454539003,1512.4722394943237
47,27.0,100.0,-18.744615341038035,1545.3397479057312
48,21.0,100.0,-17.006901958645898,1578.1863691806793
49,46.0,100.0,-16.60024497080325,1611.2572286128998
50,53.0,100.0,-15.261427163745557,1644.1209983825684
51,58.0,100.0,-17.484108060502173,1676.9747421741486
52,46.0,100.0,-17.093515474139995,1709.830960035324
53,72.0,100.0,-18.31108409041344,1742.6966619491577
54,62.0,100.0,-20.093108843028954,1775.5624616146088
55,15.0,100.0,-22.745624731268265,1808.4225778579712
56,20.0,100.0,-22.73202870996931,1841.2746155261993
57,28.0,100.0,-23.695097611869596,1874.135574579239
58,6.0,100.0,-24.332010871873493,1907.0059468746185
59,44.0,100.0,-23.674029555732698,1939.8659012317657
60,8.0,100.0,-22.14218522739474,1972.7251086235046
61,35.0,100.0,-19.301684466157482,2005.5792574882507
62,12.0,100.0,-21.21355408907249,2038.4543814659119
63,48.0,100.0,-20.524843655045128,2071.3063983917236
64,34.0,100.0,-21.10013992332972,2104.171525001526
65,11.0,100.0,-22.20658071031185,2137.023246526718
66,10.0,100.0,-23.599060037522815,2169.8903443813324
67,4.0,100.0,-23.81357011922743,2202.7428884506226
68,31.0,100.0,-23.78052293233626,2235.6079366207123
69,38.0,100.0,-23.51339364861411,2268.479616165161
70,52.0,100.0,-22.73605521108166,2301.336053609848
71,16.0,100.0,-23.790352011956386,2334.191093683243
72,7.0,100.0,-23.80907759261564,2367.0565242767334
73,31.0,100.0,-17.540884097400347,2399.9171953201294
74,28.0,100.0,-18.852236009250532,2432.78568649292
75,34.0,100.0,-20.721912948376097,2465.6414217948914
76,56.0,100.0,-16.776407356063576,2498.5150372982025
77,20.0,100.0,-16.076851141089367,2531.3735296726227
78,7.0,100.0,-20.082456836252952,2564.2356510162354
79,25.0,100.0,-17.4234351806544,2597.093794107437
80,18.0,100.0,-16.32277451788477,2629.948760032654
81,10.0,100.0,-16.33896233218505,2662.8141255378723
82,10.0,100.0,-17.364169642934588,2695.6804780960083
83,21.0,100.0,-22.167298039536877,2728.5475277900696
84,45.0,100.0,-19.089321413613437,2761.403654575348
85,19.0,100.0,-15.72222299072683,2794.27148604393
86,27.0,100.0,-15.551717419791736,2827.128969669342
87,15.0,100.0,-15.86120106080297,2859.984742641449
88,40.0,100.0,-15.859552582355624,2892.8463134765625
89,45.0,100.0,-16.558841742105844,2925.713180065155
90,0.0,100.0,-16.57468617305501,2958.578891992569
91,47.0,100.0,-16.397987721139756,2991.4460916519165
92,24.0,100.0,-15.231719349612858,3024.30108499527
93,24.0,100.0,-15.696076297458468,3057.164093732834
94,47.0,100.0,-16.847245789588374,3090.0324211120605
95,34.0,100.0,-16.311464335674927,3122.894860267639
96,16.0,100.0,-16.4864335661732,3155.753639936447
97,46.0,100.0,-16.536349783815908,3188.6199219226837
98,5.0,100.0,-16.871625248417324,3221.4872958660126
99,16.0,100.0,-17.989426087996293,3254.540159225464
