Wall time,Step,Value
1626526562.4384089,100,100.0
1626526617.9256485,200,100.0
1626526669.8184707,300,100.0
1626526721.7038798,400,100.0
1626526776.5924137,500,100.0
1626526825.8761234,600,100.0
1626526878.965776,700,100.0
1626526931.251136,800,100.0
1626526977.328837,900,100.0
1626527028.0144477,1000,100.0
1626527071.8880823,1100,100.0
1626527121.5731602,1200,100.0
1626527172.6575336,1300,100.0
1626527226.7430682,1400,100.0
1626527276.0208743,1500,100.0
1626527318.8925915,1600,100.0
1626527368.367633,1700,100.0
1626527421.7478185,1800,98.27777862548828
1626527480.2368302,1900,94.1500015258789
1626527524.3928807,2000,94.42857360839844
1626527581.7485356,2100,91.86363983154297
1626527629.4137118,2200,92.21739196777344
1626527677.203371,2300,90.31999969482422
1626527734.6031158,2400,88.37036895751953
1626527809.860676,2500,87.25
1626527865.3507702,2600,87.68965148925781
1626527929.7900662,2700,88.0999984741211
1626527988.0024583,2800,86.21875
1626528038.2967567,2900,86.63636016845703
1626528090.3954813,3000,85.05714416503906
1626528145.8979905,3100,83.36111450195312
1626528203.1647198,3200,83.8108139038086
1626528274.1094244,3300,84.2368392944336
1626528330.6931503,3400,84.64102935791016
1626528379.0617995,3500,85.0250015258789
1626528431.1223454,3600,85.39024353027344
1626528492.3867824,3700,85.73809814453125
1626528553.7888222,3800,86.06977081298828
1626528599.8375733,3900,86.38636016845703
1626528656.8521457,4000,86.68888854980469
1626528716.1807828,4100,86.97826385498047
1626528760.838224,4200,87.25531768798828
1626528806.3016887,4300,87.52083587646484
1626528855.0143223,4400,87.7755126953125
1626528915.2381697,4500,88.0199966430664
1626528960.771235,4600,87.57691955566406
1626529011.8271341,4700,87.81131744384766
1626529054.6751895,4800,88.03704071044922
1626529123.3540726,4900,88.25454711914062
1626529179.4282472,5000,88.46428680419922
1626529235.8359637,5100,88.66666412353516
1626529281.4813294,5200,88.86206817626953
1626529336.9983652,5300,89.05084991455078
1626529385.420663,5400,89.23332977294922
1626529433.5704856,5500,89.40983581542969
1626529480.0756702,5600,89.58064270019531
1626529523.7699609,5700,89.74603271484375
